clinvar,mane,mane_aa,alphafold
5,NM_017547.4,NP_060017.1,AF-Q96CU9-F1
6,NM_017547.4,NP_060017.1,AF-Q96CU9-F1
13,NM_000410.4,NP_000401.1,AF-Q30201-F1
17,NM_000410.4,NP_000401.1,AF-Q30201-F1
18,NM_000410.4,NP_000401.1,AF-Q30201-F1
19,NM_000410.4,NP_000401.1,AF-Q30201-F1
27,NM_001042472.3,NP_001035937.1,AF-Q8N2K0-F1
30,NM_138413.4,NP_612422.2,AF-Q86XE5-F1
32,NM_138413.4,NP_612422.2,AF-Q86XE5-F1
33,NM_138413.4,NP_612422.2,AF-Q86XE5-F1
34,NM_138413.4,NP_612422.2,AF-Q86XE5-F1
45,NM_015910.7,NP_056994.3,AF-O95876-F1
48,NM_001199107.2,NP_001186036.1,AF-Q9ULP9-F1
50,NM_001199107.2,NP_001186036.1,AF-Q9ULP9-F1
51,NM_022098.4,NP_071381.1,AF-Q9NQH7-F1
55,NM_001194998.2,NP_001181927.1,AF-O94986-F1
56,NM_001194998.2,NP_001181927.1,AF-O94986-F1
60,NM_006642.5,NP_006633.1,AF-Q86SQ7-F1
61,NM_006642.5,NP_006633.1,AF-Q86SQ7-F1
65,NM_000374.5,NP_000365.3,AF-P06132-F1
66,NM_000374.5,NP_000365.3,AF-P06132-F1
67,NM_000374.5,NP_000365.3,AF-P06132-F1
69,NM_000374.5,NP_000365.3,AF-P06132-F1
71,NM_000374.5,NP_000365.3,AF-P06132-F1
72,NM_000374.5,NP_000365.3,AF-P06132-F1
73,NM_000374.5,NP_000365.3,AF-P06132-F1
74,NM_000374.5,NP_000365.3,AF-P06132-F1
75,NM_000374.5,NP_000365.3,AF-P06132-F1
77,NM_000235.4,NP_000226.2,AF-P38571-F1
78,NM_000235.4,NP_000226.2,AF-P38571-F1
81,NM_000235.4,NP_000226.2,AF-P38571-F1
82,NM_000235.4,NP_000226.2,AF-P38571-F1
83,NM_021828.5,NP_068600.4,AF-Q8WWQ2-F1
88,NM_021828.5,NP_068600.4,AF-Q8WWQ2-F1
89,NM_021828.5,NP_068600.4,AF-Q8WWQ2-F1
91,NM_177924.5,NP_808592.2,AF-Q13510-F1
92,NM_177924.5,NP_808592.2,AF-Q13510-F1
93,NM_177924.5,NP_808592.2,AF-Q13510-F1
94,NM_177924.5,NP_808592.2,AF-Q13510-F1
95,NM_177924.5,NP_808592.2,AF-Q13510-F1
98,NM_000355.4,NP_000346.2,AF-P20062-F1
100,NM_000355.4,NP_000346.2,AF-P20062-F1
101,NM_001029883.3,NP_001025054.1,AF-A6NGG8-F1
102,NM_001029883.3,NP_001025054.1,AF-A6NGG8-F1
104,NM_001029883.3,NP_001025054.1,AF-A6NGG8-F1
107,NM_017849.4,NP_060319.1,AF-O75204-F1
108,NM_017849.4,NP_060319.1,AF-O75204-F1
111,NM_001193315.2,NP_001180244.1,AF-Q6IA61-F1
113,NM_001193315.2,NP_001180244.1,AF-Q6IA61-F1
114,NM_001193315.2,NP_001180244.1,AF-Q6IA61-F1
115,NM_001193315.2,NP_001180244.1,AF-Q6IA61-F1
117,NM_000071.3,NP_000062.1,AF-P35520-F1
118,NM_000071.3,NP_000062.1,AF-P35520-F1
119,NM_000071.3,NP_000062.1,AF-P35520-F1
120,NM_000071.3,NP_000062.1,AF-P35520-F1
121,NM_000071.3,NP_000062.1,AF-P35520-F1
122,NM_000071.3,NP_000062.1,AF-P35520-F1
123,NM_000071.3,NP_000062.1,AF-P35520-F1
125,NM_000071.3,NP_000062.1,AF-P35520-F1
126,NM_000071.3,NP_000062.1,AF-P35520-F1
128,NM_000071.3,NP_000062.1,AF-P35520-F1
131,NM_000071.3,NP_000062.1,AF-P35520-F1
132,NM_000071.3,NP_000062.1,AF-P35520-F1
134,NM_001128228.3,NP_001121700.2,AF-Q4KMQ1-F1
140,NM_033409.4,NP_212134.3,AF-Q9NQ40-F1
142,NM_033409.4,NP_212134.3,AF-Q9NQ40-F1
143,NM_033409.4,NP_212134.3,AF-Q9NQ40-F1
145,NM_033409.4,NP_212134.3,AF-Q9NQ40-F1
146,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
149,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
150,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
151,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
152,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
153,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
154,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
155,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
156,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
157,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
159,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
160,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
162,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
163,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
164,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
167,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
168,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
169,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
170,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
171,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
172,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
173,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
175,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
176,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
177,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
179,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
180,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
181,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
183,NM_000274.4,NP_000265.1,AF-A0A140VJQ4-F1
184,NM_001385.3,NP_001376.1,AF-Q14117-F1
